swmm_id,basin_index,source_row,downstream_target,current_fields_present,user_supplied_AC,user_supplied_invert,user_instruction
J_36,1,105,J_36|J_37,AA|S|V (AC missing),403.855,,
J_55,1,151,J_55|J_57,AA|S|V (AC missing),401.505,,
J_65_2,1,171,J_65_2|J_65_25,AA|S|V (AC missing),394.346,,
J_65_25,1,173,J_65_25|J_65_3,AA|S|V (AC missing),393.785,,
J_65_3,1,174,J_65_3|J_69,AA|S|V (AC missing),392.05,,
J_68,1,178,J_68|J_68_05,AA|S|V (AC missing),392.179,,
J_68_05,1,179,J_68_05|J_69,AA|S|V (AC missing),391.682,,
J_71_2,1,206,J_71_2|J_71_4,AA|S|V (AC missing),387.008,,
J_71_3,1,209,J_71_3|J_71_4,AA|S|V (AC missing),386.95,,
J_71_4,1,210,J_71_4|J_71_7,AA|S|V (AC missing),386.916,,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_101,2,332,J_101|J_101_1,AA|S|V (AC missing),391.167,,
J_101_1,2,335,J_101_1|J_107,AA|S|V (AC missing),390.05,,
J_102,2,339,J_102|J_102_1,AA|S|V (AC missing),388.836,,
J_102_1,2,341,J_102_1|J_102_3,AA|S|V (AC missing),388.747,,
J_102_2,2,344,J_102_2|J_102_3,AA|S|V (AC missing),388.7248904,,
J_102_3,2,345,J_102_3|J_102_4,AA|S|V (AC missing),388.724316,,
J_102_4,2,347,J_102_4|J_103_3,AA|S|V (AC missing),388.3708372,,
J_103,2,352,J_103|J_103_2,AA|S|V (AC missing),390.6435498,,
J_103_1,2,356,J_103_1|J_103_2,AA|S|V (AC missing),388.5278751,,
J_103_2,2,357,J_103_2|J_103_3,AA|S|V (AC missing),388.4688403,,
J_103_3,2,358,J_103_3|J_103_4,AA|S|V (AC missing),388.1202852,,
J_103_4,2,361,J_103_4|J_104,AA|S|V (AC missing),387.9344405,,
J_103_5,2,364,J_103_5|J_104,AA|S|V (AC missing),387.8910701,,
J_104,2,365,J_104|J_107,AA|S|V (AC missing),387.8112902,,
J_105,2,369,J_105|J_105_1,AA|S|V (AC missing),389.8392905,,
J_105_1,2,371,J_105_1|J_105_4,AA|S|V (AC missing),389.7688189,,
J_105_2,2,375,J_105_2|J_105_4,AA|S|V (AC missing),388.6113941,,
J_105_3,2,379,J_105_3|J_105_4,AA|S|V (AC missing),388.5887223,,
J_105_4,2,380,J_105_4|J_106,AA|S|V (AC missing),388.5777222,,
J_106,2,383,J_106|J_107,AA|S|V (AC missing),387.8635149,,
