swmm_id,blocker_reason,source_branch_logic_row,expected_raw_id_form,searched_sheet,searched_column,exact_matching_logic_used,exact_candidate_raw_values_found_in_HYDROLOGY,exists_by_normalized_match,exists_by_raw_string_match,final_classification
J_71_9,missing_junction_source,7,71.9,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_77_6,missing_inlet_source,8,77.6,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_71_6,missing_junction_source,9,71.6,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_71_4,missing_junction_source,9,71.4,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_71_6,missing_junction_source,10,71.6,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_71_5,missing_junction_source,10,71.5,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r214:71.5,true,true,OTHER_LOOKUP_BUG
IN_77_4,missing_inlet_source,11,77.4,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_71_2,missing_junction_source|missing_required_junction_fields:AC,12,71.2,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r206:71.2,true,true,OTHER_LOOKUP_BUG
J_71_3,missing_junction_source|missing_required_junction_fields:AC,12,71.3,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r209:71.3,true,true,OTHER_LOOKUP_BUG
IN_77_1,missing_inlet_source|missing_required_junction_fields:AC,14,77.1,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_71_1,missing_junction_source|missing_junction_source,15,71.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_71,missing_junction_source,16,71,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r200:71,true,true,OTHER_LOOKUP_BUG
J_71_1,missing_junction_source,16,71.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_70_4,missing_junction_source,17,70.4,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_76_43,missing_inlet_source|missing_junction_source,18,76.43,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_70_3,missing_junction_source,18,70.3,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r197:70.3,true,true,OTHER_LOOKUP_BUG
J_70_1,missing_junction_source,20,70.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_70_1,missing_junction_source,21,70.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_76_1,missing_inlet_source,22,76.1,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_68_1,missing_junction_source,23,68.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_75_4,missing_inlet_source|missing_required_junction_fields:AC,25,75.4,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_68_1,missing_junction_source,26,68.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_75_6,missing_inlet_source|missing_junction_source,26,75.6,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_65_1,missing_junction_source|missing_required_junction_fields:AC,27,65.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_75_1,missing_inlet_source|missing_required_junction_fields:AC,29,75.1,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_65,missing_junction_source,30,65,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r164:65,true,true,OTHER_LOOKUP_BUG
J_65_1,missing_junction_source,30,65.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_4_1,missing_junction_source,89,4.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_4_1,missing_junction_source,90,4.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_130_2,missing_inlet_source|missing_required_junction_fields:AC,127,130.2,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_130_3,missing_inlet_source|missing_required_junction_fields:AC,127,130.3,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_129_2,missing_inlet_source|missing_required_junction_fields:AC,130,129.2,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
IN_128_2,missing_inlet_source|missing_required_junction_fields:AC,133,128.2,HYDROLOGY,C,normalize(C) => IN_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_81_1,missing_junction_source,190,81.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_81_1,missing_junction_source,191,81.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_81,missing_junction_source,191,81,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r245:81,true,true,OTHER_LOOKUP_BUG
J_78_1,missing_junction_source,193,78.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_78,missing_junction_source,195,78,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r235:78,true,true,OTHER_LOOKUP_BUG
J_78_1,missing_junction_source,195,78.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_137_2,missing_junction_source,224,137.2,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_136_9,missing_junction_source|missing_required_junction_fields:AC,225,136.9,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r520:136.9,true,true,OTHER_LOOKUP_BUG
J_137_1,missing_junction_source|missing_required_junction_fields:AC,225,137.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r526:137.1,true,true,OTHER_LOOKUP_BUG
J_136_8,missing_junction_source|missing_required_junction_fields:AC,228,136.8,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_136_7,missing_junction_source|missing_required_junction_fields:AC,228,136.7,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_136_8,missing_junction_source,229,136.8,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_136_6,missing_junction_source|missing_required_junction_fields:AC,230,136.6,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r512:136.6,true,true,OTHER_LOOKUP_BUG
J_136_7,missing_junction_source,230,136.7,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_136_3,missing_junction_source|missing_required_junction_fields:AC,233,136.3,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_136_2,missing_junction_source|missing_junction_source,234,136.2,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_136_3,missing_junction_source,234,136.3,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
J_136_1,missing_junction_source|missing_required_junction_fields:AC,235,136.1,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,r503:136.1,true,true,OTHER_LOOKUP_BUG
J_136_2,missing_junction_source,235,136.2,HYDROLOGY,B,normalize(B) => J_x_y and raw-string exact compare,,false,false,TRUE_MISSING_SOURCE
